Old,New
Golden Val..,Golden Valley
Powder Ri..,Powder Ri..
Sweet Gra..,Sweet Grass
Collingswo..,Collingsworth
Charlottes..,Charlottesville
San Franci..,San Francisco
Harrisonb..,Harrisonburg
District of ..,District Of Columbia
Oglala Lak..,Oglala Lakota
San Luis O..,San Luis Obispo
Philadelph..,Philadelphia
St. Lawren..,St. Lawrence
Lake of th..,Lake Of The Woods
Lewis and ..,Lewis And Clark
Falls Churc,Falls Church
Contra Cos.,Contra Costa
Fredericks..,Fredericksburg
Colonial H..,Colonial Heights
Westchest..,Westchester
Schenecta..,Schenectady
Throckmor..,Throckmorton
Natchitoch..,Natchitoches Parish
Waynesbo..,Waynesboro
Manassas ..,Manassas
San Berna..,San Bernardino
New Hano..,New Hanover
Cape Girar..,Cape Girardeau
Newport N..,Newport News
Vanderbur..,Vanderburgh
Pottawatt..,Pottawattamie
Bartholom..,Bartholomew
Montmore..,Montmorency
Northampt..,Northampton
East Baton..,East Baton Rouge Parish
Hillsborou..,Hillsborough
Androscog..,Androscoggin
Prince Will..,Prince William
Montgome..,Montgomery
Westmorel..,Westmoreland
Northumb..,Northumberland
Chattahoo..,Chattahoochee
Mecklenbu..,Mecklenburg
Anne Arun..,Anne Arundel
Williamsbu.,Williamsburg
St. Tamma..,St. Tammany
St. John th..,St. John the Baptist Parish
Grand Tra..,Grand Traverse
Transylvan.,Transylvania
Independe..,Independence
Leavenwor.,Leavenworth
Prince Ge..,Prince Georges County
Spotsylvan.,Spotsylvania
Plaquemin..,Plaquemines Parish
Lac qui Pa..,Lac qui Parle
Yellow Me..,Yellow Medicine
Pottawato..,Pottawatomie
Prince Geo..,Prince George
Spartanbu..,Spartanburg
Susqueha..,Susquehanna
Prince Edw.,Prince Edward
West Bato..,West Baton Rouge Parish
Shenando..,Shenandoah
West Felici.,West Feliciana Parish
Jefferson ..,Jefferson Davis
Trempeale..,Trempealeau
Isle of Wig..,Isle of Wight
Queen Ann.,Queen Annes County
Breckinrid..,Breckinridge
Southampt.,Southampton
Pointe Cou..,Pointe Coupee Parish
East Felici..,East Feliciana Parish
Rappahan..,Rappahannock
King and Q.,King and Queen
King Willia..,King William
New Londo,New London
Santa Bar..,Santa Barbara
Okeechobe,Okeechobee
Baltimore,Baltimore County
Pend Oreill,Pendoreile
Presque Isl,Presqueisle
Tallahatchi,Tallahatchie
Ste. Genev.,St Genevieve
Rockingha,Rockingham
Cattaraugu,Cattaraugus
Pushmata..,Pushmataha
Lackawann,Lackawanna
Nacogdoch.,Nacogdoches
San Augus..,San Augustine cty
Appomatto,Appomattox
Buckingha,Buckingham
Virginia Be.,Virginia Beach
Grays Har..,Grays Harbor
King Georg,King George
